0000044, Porto; 1995
10, Lisboa etc; 1984
10, Viana do Castelo; 2013
13, Rio de Janeiro; 1990
14, Porto Alegre; 1994
(1543-1993), Lisboa; 1993
1870), Angra do Heroísmo; 2008
1950, Bruxelles; 2000
1, Braga; 1998
+ 1?, Lisboa; 1988
1, Lisboa; 1995
2, Braga; 1981
2, Faro; 1998
2, Lisboa; 1960
2; Lisboa 1962-1963
2, Lisboa; 1989
2, Lisboa; 1991
2, Praia; 1996
2, Sesimbra; 1992
3, Lisboa; 2000
3, Maputo; 1997
4, Lisboa; 1966
4, Lisboa; 2002
4, Lisbon; 2000
5, Lisboa; 2012
5, Maia; 1995
6, Lisboa; 2006
6; Lisboa 2013
7, Aveiro; 2004
7, Lisboa; 2008
9, Lisboa; 1999
Aa, Pieter van der; 1659-1733
Aarão de Chaves; fl. 1767
Aaronovitch, David; 1954-
Aaron, Pietro; ca 1485-1545
Aarons, Edward Sidney; 1916-1975
Abad, Diego José; 1727-1779
Abade, Augusto; 1960-
Abad Faciolince, Héctor; 1958-
Abadía, Lepoldo; 1933-
Abadie-Aicardi, Aníbal; 1929-
Abad, Inãki; 1963-
Abad, Plácido; 1878-?
Abad Vidal, Julio César; 1975-
Abad y Román, Onofre; fl. 166-
Abailard, Pierre; 1079-1142
Abalada, Dulce; 1961-
Abalkin, Leonid; 1930-
Ábalos, Rafael; 1956-
Abarca de Angulo, Francisco; fl. 1612-1621
Abas, Samuel; ?-1693
Abate, Carmine; 1954
Abate, Giuseppe; 1889-
Abati, Antonio; ?-1667
Abati, Joaquin; 1865-1936
Abbadie, Antoine d'; 1810-1897
Abbad-Jaime de Aragón Ríos, Francisco; 1910-1972
Abbado, Michelangelo; 1900-1979
Abbad y Lasierra, Inigo; 1745-1813
Abba, Giuseppe; 1838-1910
Abbagnano, Nicola; 1901-1990
Abbate, Florencia; 1976-
Abbatucci, S.; 1871-
Abbe, Cleveland; 1838-1916
Abbey, J. R.; 1896-1969
Abbiati, Franco; 1898-1981
Abbiati, Giovanni; fl. 1650
Abbot, C. G.; 1872-1973
Abbot, Charles; fl. 18--
Abbot, Francis Lemuel; 1760-1803
Abbott, Cesar; 1901-
Abbott, Charles; 1762-1832
Abbott, E. A.; 1838-1926
Abbott, Jeff; 1963-
Abbott, Lemuel-Francis; 1760-1803
Abbott, Peter H.; 1869-
Abbott, T. K.; 1829-1913
Abbott, Wilbur Cortez; 1869-1947
Abboud, Omar; 1966-
Abdelhak, Lemsaddek; 1976-
Abdel-Malek, A.; 1924-
Abdelmalki, L.; 1957-
Abdihoxha, Ali; 1923-
Abdi, Nura; 1974 -
Abdou, Mohammed; 1926-
Abdula; Naguib Elias 1955
Abdu'l-Bahá; 1844-1921
Abdullah II, Rei da Jordânia; 1962-
Abdul, Lida; 1973-
Abdulmagide, Momade Rachide; 1953-
Abecasis, Carlos Krus; 1918-2012
Abecasis, Duarte; 1892-1966
Abecasis, Fernando Manzanares; 1922-
Abecasis, Krus; 1919-
Abecasis, Manuel; 1928-
Abecasis, Nuno Krus; 1924-1999
Abecassis, Alberto Manzanares; 1915-
Abécassis, Armand; 1933-
Abécassis, Eliette; 1969-
Abecassis, Fernando; 1939-
Abecassis, Guy; 1927-
A'Beckett, M. T.; fl. 18--
Abeillard, Elizabeth; 1929-
Abe, Kobo; 1924-1993
Abela, Giovanfrancesco; fl. 1640
Abelaira, Augusto; 1926-2003
Abelaira, José; 1898-1989
Abelaira, Rosa; 1949-
Abel, Annie Heloise; 1873-?
Abel, Carl Friedrich; 1723-1787
Abelé, J.; 1886-?
Abeles, Marc; 1950-
Abel, Félix-Marie; 1878-
Abelha, António Carlos da Silva; 1964-
Abelha, Francisco; 1972-
Abelho, Azinhal; 1916-1979
Abel, Karl; 1837-1906
Abellán, José Luís; 1933-
Abellán, Rafael; 1863-?
Abella, Rubén; 1967-
Abell, Derek F.; 1938-
Abello Mesa, Leonelo; 1953-
Abel, Paula Maria Mateus; 1965-
Abel-Truchet, Louis; 1857-1918
Abendana, Jacob; 1630-1695
Abentofail, Abuchafer; 1126-?
Aber, Adolf; 1893-
Abercrombie, Joe; 1974-
Abercrombie, John; 1780-1844
Abercrombie, Michael; 1912-1979
Abercrombie, Patrick; 1879-?
Aberdeen, Conde de; 1784-1860
Aber, Georges; 1930-2012
Aberg, Nils; 1938-
Aberle, Kathleen Gough; 1925-
Abernaz, João Teixeira; fl. 1665-1681
Abernethy, John; 1764-1831
Abert, Hermann; 1871-1927
Abetz, Otto; 1903-1958
Abeyasinghe, Tikiri; 1929-1985
Abiker, David; 1969-
Abílio; 1926-
Abílio; fl. ca. 1931
Abirached, Robert; 1930-
Abi-Saab, Georges; 1933-
Abiven, Jean O.C.D.; 1922-
Ablamowicz, Aleksander; 1932-
Aboab da Fonseca, Isaac; 1605-1693
Aboab, Imanuel; ca 1555-1628
Aboab, Ischak de M.; ?-ca 1720
Aboim, A. Nunes; 1914-1952
Aboim, David; 1890-1965
Aboim, Diogo Guerreiro Camacho de; 1663-1709
