"João de Brito Câmara"; "1909"; "1967"
"Bernardete de Jesus de Castro Faria"; "1909"; ""
"Luís Colaço"; "1909"; "1985"
"Xavier Coutinho"; "1909"; "1987"
"Juvenal Esteves"; "1909"; "1996"
"Otílio Figueiredo"; "1909"; "1988"
"Fernando Fragoso"; "1909"; "1977"
"Soeiro Pereira Gomes"; "1909"; "1949"
"Arlete Oliveira Guimarães"; "1909"; ""
"Maria Clementina Pires de Lima"; "1909"; "1941"
"Luís Marino"; "1909"; "1996"
"Carlos Martins"; "1909"; "1985"
"Rui de Noronha"; "1909"; "1943"
"Eduardo Nunes"; "1909"; "1957"
"Maurício de Oliveira"; "1909"; "1972"
"António Pedro"; "1909"; "1966"
"Jaime Rebelo"; "1909"; "1991"
"Noémia Setembro"; "1910"; ""
"João Augusto Silva"; "1910"; "1990"
"Manuel Baptista da Silva"; "1910"; "1999"
"Castro Soromenho"; "1910"; "1968"
"António de Spínola"; "1910"; "1996"
"Carlos Teixeira"; "1910"; "1982"
"Francisco Manuel Ventura"; "1910"; "1994"
"Reis Ventura"; "1910"; "1992"
"Manuel Anselmo"; "1911"; ""
"Guilherme José Ferreira de Assunção"; "1911"; "1996"
"Anne-Marie Quint";;
"Maryvonne Boudoy";;
"António Gallego Morell";;
"Jaime Rocha"; "1949"; ""
"João de Oliveira";;
"Fr. Baltasar de São João";;
"Gonzalo de Macedo Sherman";;
"Isabel Dias";;
"Nicolau Grouchy";;
"Helena Vaz da Silva";;
"Pedro Alvim"; "1935"; "1997"
"Inácio Rebelo de Andrade"; "1935"; ""
"Alfredo Antunes"; "1935"; ""
"Anídio Casals D' Azevedo"; "1935"; ""
"Óscar Soares Barata"; "1935"; ""
"Matias de Barros"; "1935"; ""
"Pe. Manuel Pires Bastos"; "1935"; ""
"Orlando João da Cruz Bica"; "1935"; ""
"José António Segurado e Campos"; "1935"; ""
"Pedro Fernandes Tomás"; "1853"; "1927"
"Angelina Vidal"; "1853"; "1917"
"António Augusto Cortesão"; "1854"; "1927"
"A. Ilharco"; "1854"; "1927"
"Wenceslau de Moraes"; "1854"; "1929"
"Júlio Moreira"; "1854"; "1911"
"Francisco Maria Esteves Pereira"; "1854"; "1924"
"5º. Conde de Sabugosa"; "1854"; "1923"
"Mouzinho de Albuquerque"; "1855"; "1902"
"Conde de Arnoso"; "1855"; "1911"
"Artur Lobo de Ávila"; "1855"; "1945"
"João Lúcio de Azevedo"; "1855"; "1933"
"Amélia Cardia"; "1855"; "1938"
"António Rafael Ferreira"; "1855"; "1952"
"Firmino Pereira"; "1855"; "1918"
"Júlio Rocha"; "1855"; "1920"
"José Fernando de Sousa"; "1855"; "1942"
"Cesário Verde"; "1855"; "1886"
"António Arroio"; "1856"; "1934"
"Ladislau Batalha"; "1856"; "1939"
"Abel Botelho"; "1854"; "1917"
"Henrique Lopes de Mendonça"; "1856"; "1931"
"Manuel Barradas Mergulhão"; "1856"; "1898"
"Marcelino Mesquita"; "1856"; "1919"
"António da Costa Santos"; "1856"; "1896"
"Basílio Teles"; "1856"; "1923"
"José Augusto Vieira"; "1856"; "1890"
"Fialho de Almeida"; "1857"; "1911"
"Teixeira Bastos"; "1857"; "1902"
"Sampaio Bruno"; "1857"; "1915"
"Gualdino Gomes"; "1857"; "1948"
"João Aniceto";;
"Daniel Tércio";;
"Amílcar Quaresma"; "1933"; ""
"Francisco Alberto Fortunato Queirós"; "1933"; ""
"B. S. Massey";;
"Paulo Farmhouse Alberto";;
"Abel do Nascimento Pena";;
"Cesare Beccaria";;
"José de Faria Costa";;
"Anibal Armando Inocencio";;
"Maria Alice A. M. Inocencio";;
"Christian Gerthsen";;
"Hans O. Kneser";;
"Helmut Vogel";;
"António P. Vale Urgueira";;
"Ferdinand P. Beer";;
"E. Russel Johnston Jr.";;
"Noam Chomsky";;
"Eduardo Paiva Raposo";;
"Maria António Hörster";;
"Renato Correia";;
"Rainer Hess";;
"George E. Moore";;
"Maria Manuela Rocheta Santos";;
"Isabel Pedro dos Santos";;
"J. L. Pio Abreu";;
"António Canhão";;
"Maria Assunção Pato";;
"Luís Marques";;
"William A. Mackay";;
"João da Providência Jr.";;
"Torsten Fliessbach";;
"Augusto Santos Silva";;
"Paulo Renato Cardoso"; "1974"; ""
"Christiane Vandenplas-Holper";;
"Américo Lindeza Diogo";;
"Luís Mourão";;
"Helena Malheiro";;
"Rui Aragão";;
"João Nuno Alçada";;
"Mário Duarte"; "1954"; "1978"
"António Manuel Freire Valente"; "1956"; ""
"Eunice Cabral";;
"José Augusto dos Santos Brás";;
"Manuel Mengo";;
"Alberto Oliveira Pinto";;
"Maria do Céu de Menezes Moura";;
"Carlos Gouveia e Melo";;
"Risoleta Natálio";;
"Odílio Nunes";;
"António Sampaio Gomes"; "1945"; ""
"Margarida Fonseca Santos"; "1960"; ""
"Ivone Balette"; "1927"; "1995"
"José Vultos Sequeira"; "1945"; ""
"Maria Emília de Almeida Martins Ferreira"; "1955"; ""
"Catarina Fonseca"; "1969"; ""
"Graça Matos de Sousa";;
"António Manuel dos Santos";;
"José Lança Coelho";;
"Augusto José Monteiro";;
"Isabel Aguiar Barcelos";;
"Sofia Belo";;
"Carlos da Gama";;
"Anabela Ferreira";;
"Ana Patrício";;
"António Ferreira";;
"José Sinde Filipe";;
"Luís Filipe de Castro Mendes"; "1950"; ""
"Paulo Teixeira"; "1962"; ""
"Al Berto"; "1948"; "1997"
"Nuno Júdice"; "1949"; ""
"Gastão Cruz"; "1941"; ""
"António Franco Alexandre"; "1944"; ""
"Maria Filomena Molder"; "1950"; ""
"Nuno Nabais";;
"Joaquim Pais de Brito";;
"Gustavo Rubim";;
"Margarida Vieira Mendes";;
"AA VV";;
"Maria de Lourdes Sirgado Ganho";;
"José Maria de Oliveira Simões"; "1857"; "1944"
