id;nome;data_nascimento;local_nascimento;data_morte;local_morte;biografia;foto
1000;;
10000;João de Brito Câmara;1909;Lisboa;1967;Funchal;;
10001;Bernardete de Jesus de Castro Faria;1909;Braga;;;
10002;Luís Colaço;1909;Margão/Índia;1985;Coimbra;;
10003;Xavier Coutinho;1909;Ferreirim/Sernacelhe;1987;Porto;;
10004;Juvenal Esteves;1909;Lisboa;1996;Lisboa;;
10005;Otílio Figueiredo;1909;Vila Real;1988;Vila Real;;
10006;Fernando Fragoso;1909;Dafundo/Lisboa;1977;Lisboa;;
10007;Soeiro Pereira Gomes;1909;Gestaçô/Baião;1949;Lisboa;;
10008;Arlete Oliveira Guimarães;1909;Setúbal;;;
10009;Maria Clementina Pires de Lima;1909;Porto;1941;Coimbra;;
1001;;
10010;Luís Marino;1909;Funchal;1996;Funchal;;
10011;Carlos Martins;1909;Funchal;1985;Funchal;;
10012;Rui de Noronha;1909;Ilha de Moçambique;1943;Lourenço Marques (hoje Maputo);;
10013;Eduardo Nunes;1909;S. Roque/Funchal;1957;Lisboa;;
10014;Maurício de Oliveira;1909;Abrantes;1972;Lisboa;;
10015;António Pedro;1909;Cidade da Praia/Cabo Verde;1966;Moledo do Minho/Caminha;;
10016;Jaime Rebelo;1909;Escalhão/Figueira de Castelo Rodrigo;1991;Lisboa;;
10017;Noémia Setembro;1910;Lisboa;;;
10018;João Augusto Silva;1910;Ilha Brava/Cabo Verde;1990;Lisboa;;
10019;Manuel Baptista da Silva;1910;Novelas/Penafiel;1999;Viana do Castelo;;
1002;;
10020;Castro Soromenho;1910;Chinde/Moçambique;1968;São Paulo/Brasil;;
10021;António de Spínola;1910;Santo André/Estremoz;1996;Lisboa;;
10022;Carlos Teixeira;1910;Aboim/Fafe;1982;Lisboa;;
10023;Francisco Manuel Ventura;1910;Gavião;1994;Lisboa;;
10024;Reis Ventura;1910;Ervedelo/Chaves;1992;Lisboa;;
10025;Manuel Anselmo;1911;Valadares;;;
10026;Guilherme José Ferreira de Assunção;1911;Porto;1996;Barreiro;;
10027;Anne-Marie Quint;;;;;;
10028;Maryvonne Boudoy;;;;;;
10029;António Gallego Morell;;;;;;
1003;;
10030;Jaime Rocha;1949;Nazaré;;;
10031;João de Oliveira;;;;;;
10032;Fr. Baltasar de São João;;;;;;
10033;Gonzalo de Macedo Sherman;;;;;;
10034;Isabel Dias;;;;;;
10035;Nicolau Grouchy;;;;;;
10036;Helena Vaz da Silva;;;;;;
10037;Pedro Alvim;1935;Porto;1997;Sintra;;
10038;Inácio Rebelo de Andrade;1935;Nova Lisboa (hoje Huambo)/Angola;;;
10039;Alfredo Antunes;1935;Figueiró dos Vinhos;;;
1004;;
10040;Anídio Casals D' Azevedo;1935;Arrifana/Santa Maria da Feira;;;
10041;Óscar Soares Barata;1935;Lisboa;;;
10042;Matias de Barros;1935;Vila de Punhe/Viana do Castelo;;;
10043;Pe. Manuel Pires Bastos;1935;Loureiro/Oliveira de Azeméis;;;
10044;Orlando João da Cruz Bica;1935;Estoi/Faro;;;
10045;José António Segurado e Campos;1935;Lagos;;;
10046;Pedro Fernandes Tomás;1853;Figueira da Foz;1927;Figueira da Foz;;
10047;Angelina Vidal;1853;Lisboa;1917;Lisboa;;
10048;António Augusto Cortesão;1854;São João do Campo/Coimbra;1927;Coimbra?;;
10049;A. Ilharco;1854;?;1927;Lisboa;;
1005;;
10050;Wenceslau de Moraes;1854;Lisboa;1929;Tokushima/Japão;;
10051;Júlio Moreira;1854;?;1911;?;;
10052;Francisco Maria Esteves Pereira;1854;?;1924;?;;
10053;5º. Conde de Sabugosa;1854;Lisboa;1923;?;;
10054;Mouzinho de Albuquerque;1855;Batalha;1902;Lisboa;;
10055;Conde de Arnoso;1855;Guimarães;1911;?;;
10056;Artur Lobo de Ávila;1855;Lisboa;1945;Lisboa;;
10057;João Lúcio de Azevedo;1855;Sintra;1933;Lisboa;;
10058;Amélia Cardia;1855;Lisboa;1938;Lisboa;;
10059;António Rafael Ferreira;1855;Lisboa;1952;Lisboa;;
1006;;
10060;Firmino Pereira;1855;Porto;1918;Porto;;
10061;Júlio Rocha;1855;Lisboa;1920;Lisboa;;
10062;José Fernando de Sousa;1855;Viana do Alentejo;1942;Lisboa;;
10063;Cesário Verde;1855;Lisboa;1886;Lisboa;;
10064;António Arroio;1856;Porto;1934;Lisboa;;
10065;Ladislau Batalha;1856;Lisboa;1939;Arruda dos Vinhos;;
10066;Abel Botelho;1854;Tabuaço;1917;Buenos Aires;;
10067;Henrique Lopes de Mendonça;1856;Lisboa;1931;Lisboa;;
10068;Manuel Barradas Mergulhão;1856;Lisboa;1898;Lisboa;;
10069;Marcelino Mesquita;1856;Cartaxo;1919;Lisboa;;
1007;;
10070;António da Costa Santos;1856;Leiria;1896;Porto de Mós;;
10071;Basílio Teles;1856;Porto;1923;Matosinhos;;
10072;José Augusto Vieira;1856;Valença;1890;Porto;;
10073;Fialho de Almeida;1857;Vila de Frades;1911;Cuba;;
10074;Teixeira Bastos;1857;Lisboa;1902;Lisboa;;
10075;Sampaio Bruno;1857;Porto;1915;Porto;;
10076;Gualdino Gomes;1857;Lisboa;1948;Lisboa;;
10077;;
10078;João Aniceto;;;;;;
10079;Daniel Tércio;;;;;;
1008;;
10080;Amílcar Quaresma;1933;Faro;;;
10081;Francisco Alberto Fortunato Queirós;1933;Portalegre;;;
10082;B. S. Massey;;;;;;
10083;Paulo Farmhouse Alberto;;;;;;
10084;Abel do Nascimento Pena;;;;;;
10085;Cesare Beccaria;;;;;;
10086;José de Faria Costa;;;;;;
10087;Anibal Armando Inocencio;;;;;;
10088;Maria Alice A. M. Inocencio;;;;;;
10089;Christian Gerthsen;;;;;;
1009;;
10090;Hans O. Kneser;;;;;;
10091;Helmut Vogel;;;;;;
10092;António P. Vale Urgueira;;;;;;
10093;Ferdinand P. Beer;;;;;;
10094;E. Russel Johnston Jr.;;;;;;
10095;Noam Chomsky;;;;;;
10096;Eduardo Paiva Raposo;;;;;;
10097;Maria António Hörster;;;;;;
10098;Renato Correia;;;;;;
10099;Rainer Hess;;;;;;
1010;;
10100;George E. Moore;;;;;;
10101;Maria Manuela Rocheta Santos;;;;;;
10102;Isabel Pedro dos Santos;;;;;;
10103;J. L. Pio Abreu;;;;;;
10104;António Canhão;;;;;;
10105;Maria Assunção Pato;;;;;;
10106;Luís Marques;;;;;;
10107;William A. Mackay;;;;;;
10108;João da Providência Jr.;;;;;;
10109;Torsten Fliessbach;;;;;;
1011;;
10110;Augusto Santos Silva;;;;;;
10111;Paulo Renato Cardoso;1974;Leiria;;;
10112;Christiane Vandenplas-Holper;;;;;;
10113;Américo Lindeza Diogo;;;;;;
10114;Luís Mourão;;;;;;
10115;Helena Malheiro;;;;;;
10116;Rui Aragão;;;;;;
10117;João Nuno Alçada;;;;;;
10118;Mário Duarte;1954;Lisboa;1978;Groningen/Holanda;;
10119;;
1012;;
10120;António Manuel Freire Valente;1956;Lisboa;;;
10121;Eunice Cabral;;;;;;
10122;José Augusto dos Santos Brás;;;;;;
10123;;
10124;Manuel Mengo;;;;;;
10125;Alberto Oliveira Pinto;;;;;;
10126;Maria do Céu de Menezes Moura;;;;;;
10127;Carlos Gouveia e Melo;;;;;;
10128;Risoleta Natálio;;;;;;
10129;Odílio Nunes;;;;;;
1013;;
10130;António Sampaio Gomes;1945;Lamego;;;
10131;Margarida Fonseca Santos;1960;Lisboa;;;
10132;Ivone Balette;1927;Lisboa;1995;?;;
10133;José Vultos Sequeira;1945;Mora;;;
10134;Maria Emília de Almeida Martins Ferreira;1955;Coimbra;;;
10135;Catarina Fonseca;1969;Lisboa;;;
10136;Graça Matos de Sousa;;;;;;
10137;António Manuel dos Santos;;;;;;
10138;José Lança Coelho;;;;;;
10139;Augusto José Monteiro;;;;;;
1014;;
10140;Isabel Aguiar Barcelos;;;;;;
10141;Sofia Belo;;;;;;
10142;Carlos da Gama;;;;;;
10143;Anabela Ferreira;;;;;;
10144;Ana Patrício;;;;;;
10145;António Ferreira;;;;;;
10146;José Sinde Filipe;;;;;;
10147;Luís Filipe de Castro Mendes;1950;Idanha-a-Nova;;;
10148;Paulo Teixeira;1962;Lourenço Marques (hoje Maputo);;;
10149;Al Berto;1948;Coimbra;1997;Lisboa;;
1015;;
10150;Nuno Júdice;1949;Mexilhoeira Grande;;;
10151;Gastão Cruz;1941;Faro;;;
10152;António Franco Alexandre;1944;Viseu;;;
10153;Maria Filomena Molder;1950;;;;
10154;Nuno Nabais;;;;;;
10155;Joaquim Pais de Brito;;;;;;
10156;Gustavo Rubim;;;;;;
10157;Margarida Vieira Mendes;;;;;;
10158;AA VV;;;;;;
10159;Maria de Lourdes Sirgado Ganho;;;;;;
1016;;
10160;José Maria de Oliveira Simões;1857;Leiria;1944;Lisboa;;
10161;José Lorjó Tavares;1857;Faro;1939;Colares/Sintra;;
10162;Manuel Zerbone Júnior;1857;Horta;1905;Horta;;
10163;José Maria Rodrigues;1857;Gondim/Viana do Castelo;1942;Lisboa;;
10164;Joaquim de Araújo;1858;Penafiel;1917;Telhal/Rio de Mouro;;
10165;João Pinto Ribeiro de Carvalho;1858;Lisboa;1936;?;;
10166;Manuel Ferreira Deusdado;1858;Rio Frio/Bragança;1918;Lisboa;;
10167;Manuel Gonçalves;1858;Arco de S. Jorge/Madeira;1927;Arco de S. Jorge;;
10168;Ricardo Jorge;1858;Porto;1939;Lisboa;;
10169;Narciso de Lacerda;1858;Porto;1913;Porto;;
